Table/View Name,Column Name,Data Type
EnricoNotification,DataObjectId,nvarchar
EnricoNotification,NotificationTitle,nvarchar
EnricoNotification,NotificationDescription,nvarchar
EnricoNotification,CreatedOn,datetime
EnricoNotification,CreatedBy,nvarchar
EnricoNotification,ModifiedOn,datetime
EnricoNotification,ModifiedBy,nvarchar
EnricoNotification,IsDeleted,bit
EnricoNotificationSentDetails,Id,uniqueidentifier
EnricoNotificationSentDetails,NotificationId,uniqueidentifier
EnricoNotificationSentDetails,NTID,nvarchar
EnricoNotificationSentDetails,IsSeen,bit
EnricoNotificationSentDetails,CreatedOn,datetime
EnricoNotificationSentDetails,CreatedBy,nvarchar
EnricoNotificationSentDetails,ModifiedOn,datetime
EnricoNotificationSentDetails,ModifiedBy,nvarchar
EnricoNotificationSentDetails,IsDeleted,bit
EnricoPermission,Id,int
EnricoPermission,Name,nvarchar
EnricoPermission,Description,nvarchar
EnricoPermission,IsActive,bit
EnricoPermission,IsDeleted,bit
EnricoPermissionsOnBusinessRoles,Id,uniqueidentifier
EnricoPermissionsOnBusinessRoles,EntityId,uniqueidentifier
EnricoPermissionsOnBusinessRoles,BusinessRoleId,uniqueidentifier
EnricoPermissionsOnBusinessRoles,FeatureId,uniqueidentifier
EnricoPermissionsOnBusinessRoles,PermissionId,int
EnricoPermissionsOnBusinessRoles,PermissionStatus,bit
EnricoPermissionsOnBusinessRoles,CreatedOn,datetimeoffset
EnricoPermissionsOnBusinessRoles,CreatedBy,nvarchar
EnricoPermissionsOnBusinessRoles,ModifiedOn,datetimeoffset
EnricoPermissionsOnBusinessRoles,ModifiedBy,nvarchar
EnricoPermissionsOnBusinessRoles,IsDeleted,bit
EnricoUsers,Ntid,nvarchar
EnricoUsers,EmployeeNumber,bigint
EnricoUsers,Name,nvarchar
EnricoUsers,GroupCode,nvarchar
EnricoUsers,DeptCode,nvarchar
EnricoUsers,Email,nvarchar
EnricoUsers,JoinDate,date
EnricoUsers,LastModifiedDate,date
EnricoUsers,CreatedDate,date
EnricoUsers,EmployeeLocation,bigint
EnricoUsers,EmployeeCatGroup,smallint
EnricoUsers,EmployeeCatSubGroup,smallint
EnricoUsers,EmployeeStatus,smallint
EnricoUsers,CostCenter,nvarchar
EnricoUsers,EmployeeSubLocationCode,nvarchar
EnricoUsers,GID,nvarchar
EnricoUsers,FirstName,nvarchar
EnricoUsers,LastName,nvarchar
EnricoUsers,HRBPGID,nvarchar
EnricoUsers,BusinessArea,nvarchar
EnricoUsers,CompanyCode,nvarchar
EnricoUsers,EmployeeRole,nvarchar
EnricoUsersInBusinessRoles,Id,uniqueidentifier
EnricoUsersInBusinessRoles,EntityId,uniqueidentifier
EnricoUsersInBusinessRoles,BusinessRoleId,uniqueidentifier
EnricoUsersInBusinessRoles,BusinessUserNTID,nvarchar
EnricoUsersInBusinessRoles,BusinessUserStatus,bit
EnricoUsersInBusinessRoles,CreatedOn,datetimeoffset
EnricoUsersInBusinessRoles,CreatedBy,nvarchar
EnricoUsersInBusinessRoles,ModifiedOn,datetimeoffset
EnricoUsersInBusinessRoles,ModifiedBy,nvarchar
EnricoUsersInBusinessRoles,IsDeleted,bit
EscalationLevel,Id,uniqueidentifier
EscalationLevel,EscalationLevelValue,nvarchar
ExitReasonMaster,Id,int
ExitReasonMaster,ExitReason,nvarchar
ExitReasonMaster,CreatedOn,datetimeoffset
ExitReasonMaster,CreatedBy,nvarchar
ExitReasonMaster,ModifiedOn,datetimeoffset
ExitReasonMaster,ModifiedBy,nvarchar
ExitReasonMaster,IsDeleted,bit
ExitReasonMaster,Version,timestamp
FixedHoliday,Id,uniqueidentifier
FixedHoliday,CompanyCode,nvarchar
FixedHoliday,Location,nvarchar
FixedHoliday,HolidayDate,datetime
FixedHoliday,HolidayName,nvarchar
FixedHoliday,CreatedOn,datetimeoffset
FixedHoliday,CreatedBy,nvarchar
FixedHoliday,ModifiedOn,datetimeoffset
FixedHoliday,ModifiedBy,nvarchar
FixedHoliday,IsDeleted,bit
FundCenters,Id,uniqueidentifier
FundCenters,Fmarea,nvarchar
FundCenters,FundCenter,nvarchar
FundCenters,FundCenterName,nvarchar
FundCenters,Description,nvarchar
FundCenters,ValidFrom,datetime
FundCenters,ValidTo,datetime
FundCenters,Source,nvarchar
FundCenters,CreatedOn,datetimeoffset
FundCenters,CreatedBy,nvarchar
FundCenters,ModifiedOn,datetimeoffset
FundCenters,ModifiedBy,nvarchar
FundCenters,IsDeleted,bit
FundCenters,Version,timestamp
FundCenters,Imported,bit
FundCenters,IsActive,bit
FundCenters,BusinessArea,nvarchar
FundCenters,CompanyCode,nvarchar
FundCenters,EnteredOn,datetime
FundCenters,ChangedOn,datetime
FundCodeDetails,id,uniqueidentifier
FundCodeDetails,fundcode,varchar
FundCodeDetails,createdOn,datetime
FundCodeDetails,createdBy,varchar
FundsCenterMaster,Id,bigint
FundsCenterMaster,FMArea,nvarchar
FundsCenterMaster,FundCentre,nvarchar
FundsCenterMaster,FundCentreName,nvarchar
FundsCenterMaster,Description,nvarchar
FundsCenterMaster,ValidFrom,datetime2
FundsCenterMaster,ValidTo,datetime2
FundsCenterMaster,Source,nvarchar
FundsCenterMaster,IsActive,bit
FundsCenterMaster,CreatedOn,datetime2
FundsCenterMaster,CreatedBy,nvarchar
FundsCenterMaster,ModifiedOn,datetime2
FundsCenterMaster,ModifiedBy,nvarchar
GradeDetails,Id,int
GradeDetails,Grade,nvarchar
GradeDetails,CreatedOn,datetimeoffset
GradeDetails,CreatedBy,nvarchar
GradeDetails,ModifiedOn,datetimeoffset
GradeDetails,ModifiedBy,nvarchar
GradeDetails,IsDeleted,bit
GradeDetails,Version,timestamp
InterfaceClientApps,Id,uniqueidentifier
InterfaceClientApps,ClientName,nvarchar
InterfaceClientApps,Secret,nvarchar
InterfaceClientApps,CreatedOn,datetimeoffset
InterfaceClientApps,CreatedBy,nvarchar
InterfaceClientApps,ModifiedOn,datetimeoffset
InterfaceClientApps,ModifiedBy,nvarchar
InterfaceClientApps,Version,timestamp
InterfaceLogs,Id,int
InterfaceLogs,Message,nvarchar
InterfaceLogs,Level,nvarchar
InterfaceLogs,TimeStamp,datetime2
