Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Contract Management,vw_SOWJD,IsResourceAugmentationNeedExtensionOfC2P,smallint
Vendor Management,Contract Management,vw_SOWJD,C2PDocumentPrepared,smallint
Vendor Management,Contract Management,vw_SOWJD,OutSourcingTypeId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,StartDate,datetime
Vendor Management,Contract Management,vw_SOWJD,EndDate,datetime
Vendor Management,Contract Management,vw_SOWJD,PlantId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,BudgetCodeId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,MaterialGroupId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,FundId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,FundCenterId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,ProjectedPoValue,decimal
Vendor Management,Contract Management,vw_SOWJD,Status,int
Vendor Management,Contract Management,vw_SOWJD,CurrencyTypeId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,Group,varchar
Vendor Management,Contract Management,vw_SOWJD,Section,varchar
Vendor Management,Contract Management,vw_SOWJD,Department,varchar
Vendor Management,Contract Management,vw_SOWJD,CreatedBy,nvarchar
Vendor Management,Contract Management,vw_SOWJD,ModifiedBy,varchar
Vendor Management,Contract Management,vw_SOWJD,CreatedOn,datetime
Vendor Management,Contract Management,vw_SOWJD,ModifiedOn,datetime
Vendor Management,Contract Management,vw_SOWJD,Id_Identity,int
Vendor Management,Contract Management,vw_SOWJD,remarks,varchar
Vendor Management,Contract Management,vw_SOWJD,CostCenter,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,DMRemarks,varchar
Vendor Management,Contract Management,vw_SOWJD,LocationModeId,int
Vendor Management,Contract Management,vw_SOWJD,RecordOwner,varchar
Vendor Management,Contract Management,vw_SOWJD,BUSpoc,nvarchar
Vendor Management,Contract Management,vw_SOWJD,BuHot,nvarchar
Vendor Management,Contract Management,vw_SOWJD,groupId,int
Vendor Management,Contract Management,vw_SOWJD,SowjdReference,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,L1DeligationCount,int
Vendor Management,Contract Management,vw_SOWJD,L2DeligationCount,int
Vendor Management,Contract Management,vw_SOWJD,isRepeatOutsourcing,nvarchar
Vendor Management,Contract Management,vw_SOWJD,DH,varchar
Vendor Management,Contract Management,vw_SOWJD,actulSecSpoc,varchar
Vendor Management,Contract Management,vw_SOWJD,SectionId,bigint
Vendor Management,Contract Management,vw_SOWJD,SecSpocFullName,nvarchar
Vendor Management,Contract Management,vw_SOWJD,BuSpocNTID,varchar
Vendor Management,Contract Management,vw_SOWJD,BuId,bigint
Vendor Management,Contract Management,vw_SOWJD,buSpocFullName,nvarchar
Vendor Management,Contract Management,vw_SOWJD,SecSpoc,varchar
Vendor Management,Contract Management,vw_SOWJD,secSpocEmpNumber,nvarchar
Vendor Management,Contract Management,vw_SOWJD,DepartmentHeadNtid,varchar
Vendor Management,Contract Management,vw_SOWJD,DepartmentHeadEmpNumber,bigint
Vendor Management,Contract Management,vw_SOWJD,PMOSecretarySpoc,varchar
Vendor Management,Contract Management,vw_MasterBoschRateCardPivot,skillsetId,uniqueidentifier
Vendor Management,Contract Management,vw_MasterBoschRateCardPivot,GradeId,uniqueidentifier
Vendor Management,Contract Management,vw_MasterBoschRateCardPivot,GradePrice,decimal
