Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,,AuditAop,TotalEquivalentCapacity,decimal
Vendor Management,,AuditAop,TotalProjectedPO,decimal
Vendor Management,,AuditAop,TotalProjectedRevenue,decimal
Vendor Management,,AuditAop,Status,nvarchar
Vendor Management,,AuditAop,CfCycleName,nvarchar
Vendor Management,,AuditAop,PlanningYearId,nvarchar
Vendor Management,,AuditAop,CfCyclePlanningMonth,nvarchar
Vendor Management,,AuditAop,CfCycleYear,int
Vendor Management,,AuditAop,CfCyclePlanningStartDate,datetime
Vendor Management,,AuditAop,CfCyclePlanningEndate,datetime
Vendor Management,,AuditAop,CreatedOn,datetimeoffset
Vendor Management,,AuditAop,CreatedBy,nvarchar
Vendor Management,,AuditAop,ModifiedOn,datetimeoffset
Vendor Management,,AuditAop,ModifiedBy,nvarchar
Vendor Management,,AuditAop,IsDeleted,bit
Vendor Management,,AuditAop,Version,timestamp
Vendor Management,,AuditAopFl,Id,uniqueidentifier
Vendor Management,,AuditAopFl,AOPId,uniqueidentifier
Vendor Management,,AuditAopFl,AopFlId,uniqueidentifier
Vendor Management,,AuditAopFl,FLPlanningCode,nvarchar
Vendor Management,,AuditAopFl,OrganizationUnitId,int
Vendor Management,,AuditAopFl,OrganizationUnitName,nvarchar
Vendor Management,,AuditAopFl,PlanningOrgLevel,nvarchar
Vendor Management,,AuditAopFl,ActivitySPOCId,int
Vendor Management,,AuditAopFl,TotalEquivalentCapacity,decimal
Vendor Management,,AuditAopFl,TotalProjectedPO,decimal
Vendor Management,,AuditAopFl,TotalProjectedRevenue,decimal
Vendor Management,,AuditAopFl,Status,nvarchar
Vendor Management,,AuditAopFl,CreatedOn,datetimeoffset
Vendor Management,,AuditAopFl,CreatedBy,nvarchar
Vendor Management,,AuditAopFl,ModifiedOn,datetimeoffset
Vendor Management,,AuditAopFl,ModifiedBy,nvarchar
Vendor Management,,AuditAopFl,IsDeleted,bit
Vendor Management,,AuditAopFl,Version,timestamp
Vendor Management,,AuditAopSl,Id,uniqueidentifier
Vendor Management,,AuditAopSl,AopSlId,uniqueidentifier
Vendor Management,,AuditAopSl,AopFlId,uniqueidentifier
Vendor Management,,AuditAopSl,AOPId,uniqueidentifier
Vendor Management,,AuditAopSl,SLPlanningCode,nvarchar
Vendor Management,,AuditAopSl,OrganizationUnitId,int
Vendor Management,,AuditAopSl,OrganizationUnitName,nvarchar
Vendor Management,,AuditAopSl,PlanningOrgLevel,nvarchar
Vendor Management,,AuditAopSl,ActivitySPOCId,nvarchar
Vendor Management,,AuditAopSl,TotalEquivalentCapacity,decimal
Vendor Management,,AuditAopSl,TotalProjectedPO,decimal
Vendor Management,,AuditAopSl,TotalProjectedRevenue,decimal
Vendor Management,,AuditAopSl,Status,nvarchar
Vendor Management,,AuditAopSl,CreatedOn,datetimeoffset
Vendor Management,,AuditAopSl,CreatedBy,nvarchar
Vendor Management,,AuditAopSl,ModifiedOn,datetimeoffset
Vendor Management,,AuditAopSl,ModifiedBy,nvarchar
Vendor Management,,AuditAopSl,IsDeleted,bit
Vendor Management,,AuditAopSl,Version,timestamp
Vendor Management,,AuditTable,Id,bigint
Vendor Management,,AuditTable,ActionBy,nvarchar
Vendor Management,,AuditTable,Action,nvarchar
Vendor Management,,AuditTable,CreatedOn,datetime2
Vendor Management,,BusinessSupport,Id,uniqueidentifier
Vendor Management,,BusinessSupport,BusinessSupportName,nvarchar
Vendor Management,,BusinessSupport,IsApplicableToSowJd,bit
Vendor Management,,BusinessSupport,BusinessSupportCode,varchar
Vendor Management,,Classification,Id,uniqueidentifier
Vendor Management,,Classification,ClassificationName,nvarchar
